name,country,region,winery,rating,number_of_ratings,price,since,origin_appellation
Barbera d'Alba 2018,Italy,Barbera d'Alba,Comm. G.B. Burlotto,3.9,107,17.00,02/10/2008,true
Blauer Spätburgunder 2015,Germany,Baden,Ziereisen,3.7,107,11.31,02/11/2006,true
Promontory 2013,United States,Napa Valley,Promontory,4.7,107,721.34,18/10/2014,false
Tempranillo - Merlot 2015,Spain,Ribera del Duero,Rolland & Galarreta 'R&G',3.7,107,13.95,27/01/2018,false
Sankt Laurent 2017,Austria,Burgenland,Umathum,3.6,107,13.20,26/09/1999,true
Gigondas 2017,France,Gigondas,M. Chapoutier,3.9,107,24.80,10/07/2019,true
Driopi Classic Agiorgitiko Nemea 2017,Greece,Nemea,Κτημα Τσελεπου (Ktima Tselepos),3.7,107,11.50,10/01/2014,true
Magna Malbec 2018,Argentina,San Juan,Callia,3.5,107,8.95,07/10/2015,true
Nero 2010,Italy,Salento,Conti Zecca,4.0,107,25.12,02/07/2007,true
Salice Salentino 2017,Italy,Salice Salentino,Epicuro,3.6,107,6.25,27/11/2016,false
Valpolicella Superiore 2014,Italy,Valpolicella,Rocca Sveva,3.7,107,15.84,04/06/2018,true
Gevrey-Chambertin 2015,France,Gevrey-Chambertin,Chanson,4.1,107,50.90,23/11/1998,false
Pago de los Balagueses Garnacha Tintorera - Merlot 2014,Spain,Valencia,Vegalfaro,3.8,107,16.90,16/01/2017,true
Barolo Liste 2013,Italy,Barolo,Borgogno,4.2,107,80.01,03/01/2007,true
Adrianna Vineyard Fortuna Terrae Malbec 2016,Argentina,Mendoza,Catena Zapata,4.6,107,89.90,23/10/2002,true
Malbec de Purcari 2018,Moldova,South Eastern,Château Purcari,4.1,107,11.98,07/09/2019,false
Esprit de Granit Saint-Joseph 2012,France,Saint-Joseph,Cave de Tain,4.0,107,27.93,04/07/2016,false
Bachgart Blauburgunder 2016,Italy,Südtirol - Alto Adige,Klaus Lentsch,3.8,107,19.90,19/11/2005,true
Crianza 2016,Spain,Rioja,Campo Viejo,3.5,1070,7.99,27/11/2018,false
Margaux de Brane (Margaux de Henri Lurton) 2014,France,Margaux,Château Brane-Cantenac,3.8,1070,34.20,07/07/2007,false
Shiraz 2017,South Africa,Swartland,Allesverloren,3.6,1070,10.90,05/02/2008,true
Rubesco Rosso di Torgiano 2016,Italy,Torgiano,Lungarotti,3.7,1071,9.80,20/08/2018,true
Yamhill Cuvée Pinot Noir 2014,United States,Willamette Valley,Domaine Serene,4.3,1071,59.00,19/06/2007,true
Gran Enemigo 2015,Argentina,Mendoza,El Enemigo,4.5,1072,62.39,10/12/1999,true
Macán Clásico 2015,Spain,Rioja,Benjamin de Rothschild - Vega Sicilia,4.3,1073,48.54,22/06/2011,false
Zinfandel 2016,United States,North Coast,Ghost Pines,3.9,1075,17.29,23/04/2015,true
Reserve Malbec 2016,Argentina,Tupungato,Sophenia,3.8,1076,13.09,11/08/2007,false
Saint-Estèphe 2011,France,Saint-Estèphe,Château de Pez,3.9,1077,36.90,25/12/1998,true
Rosso di Montalcino Leopoldo Franceschi 2014,Italy,Rosso di Montalcino,Tenuta Il Poggione,3.9,1077,21.34,21/10/2007,false
Saint-Estèphe (Grand Cru Classé) 2005,France,Saint-Estèphe,Château Lafon-Rochet,4.1,1077,79.95,12/12/2017,true
Diamond Collection Zinfandel (Red Label) 2016,United States,Napa Valley,Francis Ford Coppola,3.9,1078,21.39,19/08/2017,true
Overture N.V.,United States,Napa Valley,Opus One,4.4,10799,154.99,06/03/2017,true
Nèprica Cabernet Sauvignon 2018,Italy,Puglia,Tormaresca,3.5,108,8.33,02/08/2016,false
Veneto Rosso del Bepi 2010,Italy,Veneto,Quintarelli Giuseppe,4.4,108,115.92,04/03/2019,false
Taurasi 2015,Italy,Taurasi,Feudi di San Gregorio,4.1,108,17.45,01/08/2002,true
Tributo Carmenère 2018,Chile,Colchagua Valley,Caliterra,3.7,108,9.64,05/05/1999,true
Lalande-de-Pomerol 2014,France,Lalande-de-Pomerol,Château Les Hauts-Conseillants,4.0,108,20.37,26/09/2010,true
Coteaux Du Languedoc La Clape L'Hospitalitas 2015,France,La Clape,Gérard Bertrand,4.4,108,71.39,20/09/2017,true
Shiraz 2015,South Africa,Stellenbosch,Kaapzicht,4.0,108,15.55,01/09/2002,false
Gigondas Valbelle 2015,France,Gigondas,Château de Saint Cosme,4.3,108,49.95,19/07/2015,true
Primitivo di Manduria 2018,Italy,Primitivo di Manduria,Terre di Campo Sasso,4.1,108,8.28,24/07/2009,true
Redhill Pinotage 2017,South Africa,Stellenbosch,Simonsig,4.2,108,19.40,15/03/2015,false
Finca Dofí 2017,Spain,Priorat,Álvaro Palacios,4.4,108,69.95,17/07/2019,true
Unique Selection 2015,Chile,Colchagua Valley,Siegel,4.2,108,28.90,13/03/2007,true
Sud Malvasia Nera 2016,Italy,Salento,San Marzano,3.9,108,7.25,10/09/2005,false
Alboreto Nobile di Montepulciano 2016,Italy,Vino Nobile di Montepulciano,Talosa,3.9,108,14.13,19/08/2007,true
Tempranillo Reserva 2010,Spain,Rioja,Bodegas Amaren,4.2,108,34.90,20/04/2006,false
Bordeaux Supérieur 2017,France,Bordeaux Supérieur,Château Picon,3.5,108,7.35,27/12/2012,false
Valpolicella Valpantena 2017,Italy,Valpolicella Valpantena,Costa Arente,3.8,108,15.67,17/11/2000,false
Poggio Al Tufo Alicante 2015,Italy,Maremma Toscana,Tommasi,3.9,108,20.32,16/12/1998,false
Conde de Valdemar Reserva 2012,Spain,Rioja,Bodegas Valdemar,4.0,108,13.26,10/07/2012,true
Rondeur Appassimento 2018,France,Pays d'Oc,Domaine La Grange,4.2,108,9.37,08/06/2007,false
Zarihs Syrah 2016,Spain,Campo de Borja,Borsao,4.1,108,15.69,05/11/2013,false
Merlot Selección 2016,Spain,Extremadura,Coloma,4.0,108,11.95,16/03/2007,true
Tinto 2000,Spain,Castilla y León,Dehesa La Granja,4.1,108,35.00,09/01/2000,false
Siebeneich Merlot Riserva 2016,Italy,Südtirol - Alto Adige,Colterenzio (Schreckbichl),3.8,108,19.01,29/10/2015,true
Cabernet Sauvignon 2017,South Africa,Stellenbosch,Stark-Condé,3.8,108,11.99,29/11/2002,false
Amarone 2012,Italy,Amarone della Valpolicella,Musella,4.2,108,29.12,27/04/2012,true
Reserva 2012,Spain,Rioja,Ortega Ezquerro,3.9,108,13.95,21/05/2001,true
Palha Canas Tinto 2016,Portugal,Lisboa,Casa Santos Lima,3.6,108,8.90,26/02/2000,false
12 e Mezzo Primitivo del Salento 2017,Italy,Salento,Varvaglione,3.9,1080,7.25,13/06/2000,true
50 & 50 2013,Italy,Toscana,Capannelle,4.4,1081,112.00,16/06/2010,false
Cabernet Sauvignon de Purcari 2017,Moldova,South Eastern,Château Purcari,4.1,1082,12.98,18/03/2018,true
Ca'Marcanda Promis Toscana 2017,Italy,Toscana,Gaja,4.0,1083,30.90,23/03/2019,true
Cabernet Sauvignon - Merlot 2015,Spain,Somontano,Enate,3.6,1084,9.50,06/10/2012,true
Conde de Valdemar Gran Reserva 2008,Spain,Rioja,Bodegas Valdemar,4.0,1084,19.99,30/03/2019,true
Whole Berry Cabernet Sauvignon 2017,South Africa,Robertson,Springfield Estate,4.1,1084,16.75,28/09/2013,true
Clásico Garnacha 2018,Spain,Campo de Borja,Borsao,3.6,1085,5.99,06/01/2001,true
Sideral 2017,Chile,Cachapoal Valley,Altaïr,4.2,1085,21.45,25/10/2001,true
Charles Wetmore Cabernet Sauvignon 2014,United States,Livermore Valley,Wente,4.0,1086,21.10,24/01/2008,true
Saint-Estèphe 2012,France,Saint-Estèphe,Château de Pez,4.0,1089,33.90,22/03/2010,false
Gran Reserva Cabernet Sauvignon 2017,Chile,Maipo Valley,Carmen,3.8,1089,11.65,25/05/2005,false
Mentor Cabernet 2013,Australia,Barossa,Peter Lehmann,3.9,109,32.69,22/12/2000,false
Montagne-Saint-Émilion 2016,France,Montagne-Saint-Émilion,Clos de Bouard,4.0,109,27.20,31/07/2002,true
Les Cépages Cabernet Sauvignon 2018,France,Pays d'Oc,Baron Philippe de Rothschild,3.4,109,7.27,10/07/2005,true
L'Esprit Terroir La Clape 2015,France,La Clape,Château Rouquette Sur Mer,3.8,109,14.95,28/05/2017,true
Saint-Émilion Grand Cru (Premier Grand Cru Classé) 2015,France,Saint-Émilion Grand Cru,Château Belair-Monange,4.3,109,224.95,20/04/2009,true
Pinot Noir 2017,United States,Central Coast,Ryder Estate,3.7,109,16.72,11/03/2018,false
Malbec 2018,France,Comté Tolosan,Carmelle,3.7,109,6.45,12/03/2012,false
Merlot 2015,United States,Washington,Stimson Estate Cellars,3.6,109,8.29,18/07/2007,false
Blaufränkisch 2017,Austria,Burgenland,Krutzler,3.5,109,8.98,16/06/2007,true
I Sodi del Paretaio 2018,Italy,Chianti,Badia di Morrona,3.5,109,7.99,07/03/2017,true
Villa Blanche Syrah 2017,France,Pays d'Oc,Calmel & Joseph,3.8,109,7.40,18/06/2006,true
Arbossar 2016,Spain,Priorat,Terroir Al Límit Soc. Lda,4.0,109,60.00,30/04/2006,false
Amarone Della Valpolicella Marta Galli 2007,Italy,Amarone della Valpolicella,Le Ragose,4.3,109,59.90,24/05/2002,false
Vera Cruz Shiraz 2014,South Africa,Stellenbosch,Delheim,4.3,109,35.50,12/02/2012,false
Poggio d'Arna Toscana 2016,Italy,Toscana,Tenuta di Sesta,4.0,109,12.58,20/09/2000,true
Contador Rioja 2014,Spain,Rioja,Bodega Contador (Benjamín Romeo),4.6,109,328.95,01/02/2011,true
Fronsac 2015,France,Fronsac,Château Moulin Haut-Laroque,4.0,109,22.37,08/03/2019,true
Pinot Noir *** 2014,Germany,Baden,Weingut Holger Koch,3.6,109,29.95,07/03/2019,false
Lemberger Trocken 2014,Germany,Württemberg,Grafen Neipperg,3.2,109,9.60,25/05/2010,true
Sestal 2014,Spain,Mallorca,Ses Talaioles,4.2,109,31.68,07/02/2002,true
Pomerol 2012,France,Pomerol,Château Gombaude-Guillot,4.1,109,68.81,15/08/2008,false
Priorat Cruor 2016,Spain,Priorat,Casa Gran del Siurana,4.1,109,20.99,12/04/1999,true
Domaine de la Madone Beaujolais Le Perréon 2018,France,Beaujolais,Jean-Marc Despres,3.7,109,8.67,18/05/2012,false
Saint-Estèphe 2016,France,Saint-Estèphe,Château Clauzet,3.8,109,24.75,23/06/2005,true
Valpolicella Superiore 2014,Italy,Valpolicella,Allegrini,3.7,1092,13.16,14/06/2010,true
The Scribbler Cabernet - Shiraz 2013,Australia,Barossa Valley,Yalumba,3.6,1093,20.76,11/12/2002,false
Boom Boom! Syrah 2016,United States,Columbia Valley,Charles Smith,3.5,1093,18.42,04/11/2016,false
Margaux (Grand Cru Classé) 2010,France,Margaux,Château Prieuré-Lichine,4.2,1094,79.00,18/06/2015,false
Crianza Tempranillo 2016,Spain,Rioja,Baigorri,3.8,1097,12.60,15/07/2014,true
Berola 2014,Spain,Campo de Borja,Borsao,3.9,1098,14.50,24/01/1999,false
Blaufränkisch 2017,Austria,Burgenland,Rosi Schuster,3.7,110,14.90,27/02/2008,true
Spätburgunder 2017,Germany,Ahr,Jean Stodden,3.5,110,12.40,30/04/2015,false
Brunello di Montalcino Riserva 2011,Italy,Brunello di Montalcino,Biondi-Santi,4.5,110,447.43,21/01/2010,true
Cabernet Sauvignon 2015,Argentina,Uco Valley,DiamAndes,3.8,110,16.99,01/12/2006,false
Italian Collection Tosca 2011,South Africa,Stellenbosch,Morgenster Estate,4.0,110,24.32,11/03/2000,true
Cabernet Sauvignon 2016,South Africa,Stellenbosch,Meerlust,4.1,110,21.34,19/07/2010,false
Saint-Émilion Grand Cru (Grand Cru Classé) 2005,France,Saint-Émilion Grand Cru,Clos des Jacobins,4.2,110,58.95,04/02/2006,false
Nero d'Avola 2018,Italy,Terre Siciliane,Fatascia,3.6,110,7.53,22/05/2016,true
Givry 2017,France,Givry,Joseph Drouhin,3.9,110,19.40,07/06/2019,true
Bordeaux Réserve Rouge 2015,France,Bordeaux,Château Rauzan Despagne,3.4,110,18.90,16/07/2011,false
Bricco Dei Merli Barbera d'Alba 2014,Italy,Barbera d'Alba,Elvio Cogno,3.6,110,19.95,23/02/2003,true
Bandol Rouge 2007,France,Bandol,Gros' Noré,3.9,110,59.00,02/07/2014,true
Teldeschi Vineyard Zinfandel 2016,United States,Dry Creek Valley,Ravenswood,4.0,110,33.95,31/05/2012,true
Ornato Barolo 2015,Italy,Barolo,Pio Cesare,4.2,110,81.97,18/09/2017,false
Colledilà Chianti Classico Gran Selezione 2016,Italy,Chianti Classico,Ricasoli,4.2,110,45.00,21/03/2008,false
Pomerol 2013,France,Pomerol,Château La Grave (Trigant de Boisset),3.8,110,31.20,29/03/2012,false
1921 Primitivo di Manduria Riserva 2012,Italy,Primitivo di Manduria,Varvaglione,4.1,110,39.90,13/05/2000,true
Martelo Reserva 2012,Spain,Rioja,Torre de Oña,4.0,110,28.41,02/07/2016,false
Rosso di Montepulciano Prugnolo 2017,Italy,Rosso di Montepulciano,Boscarelli,3.7,110,12.90,15/01/2001,true
Valley Oaks Cabernet Sauvignon 2016,United States,California,Fetzer,3.6,1102,11.19,15/05/2012,false
Saint-Julien (Grand Cru Classé) 2005,France,Saint-Julien,Château Branaire-Ducru,4.2,1103,88.95,10/05/2008,false
The Pundit 2016,United States,Columbia Valley,Tenet Wines,3.9,1104,27.99,17/05/2014,false
Pinot Noir 2016,United States,Los Carneros,Black Stallion,3.9,1105,34.32,28/04/2006,false
Don Maximiano Founder's Reserve 2015,Chile,Aconcagua Valley,Errazuriz,4.4,1106,83.60,02/10/2009,true
Marne 180 Amarone della Valpolicella 2015,Italy,Amarone della Valpolicella,Tedeschi,4.3,1106,31.90,26/01/2019,false
Chronicon Montepulciano d'Abruzzo 2013,Italy,Montepulciano d'Abruzzo,Cantina Zaccagnini,3.9,1106,11.95,16/09/2013,false
Emilien 2015,France,Côtes de Bordeaux,Château le Puy,4.0,1106,39.90,30/03/2015,false
Pinot Nero 2016,Italy,Südtirol - Alto Adige,Castel Sallegg,3.6,111,11.50,16/08/2014,true
Single Estate Red 2015,Portugal,Alentejano,Azamor,3.9,111,9.65,05/05/2004,true
Pinot Noir 2018,Austria,Neusiedlersee,Pittnauer,3.8,111,11.95,04/09/2010,false
Fronsac 2013,France,Fronsac,Château Moulin Haut-Laroque,3.8,111,17.50,17/08/2016,true
Pinot Noir 2018,Germany,Pfalz,Matthias Gaul,3.7,111,9.90,16/11/2018,true
Vürsù Barbaresco Gallina 2014,Italy,Barbaresco,La Spinetta,4.3,111,115.70,07/03/2004,false
Montesodi Toscana 2016,Italy,Toscana,Castello Nipozzano,4.2,111,44.57,22/06/2015,false
Colle Ambro Rosso Piceno 2017,Italy,Rosso Piceno,Garofoli,3.5,111,7.90,12/12/2009,false
AN/2 2018,Spain,Mallorca,Ànima Negra,4.1,111,19.99,20/01/2006,false
Oraison Côtes du Rhône 2016,France,Côtes-du-Rhône,Badet Clement,3.4,111,8.50,03/10/2017,true
Etna San Lorenzo Rosso 2017,Italy,Etna,Tenuta delle Terre Nere,4.2,111,39.90,30/03/2017,false
Negroamaro 2017,Italy,Puglia,A Mano,3.5,111,6.75,31/10/1999,false
Breg Rosso 2004,Italy,Venezia Giulia,Gravner,4.2,111,95.55,27/10/1999,true
Gigondas Le Claux 2011,France,Gigondas,Château de Saint Cosme,4.3,111,59.95,17/03/2018,false
Côtes du Rhône Villages Sablet 2012,France,Côtes-du-Rhône-Villages 'Sablet',Château du Trignon,3.8,111,10.67,05/02/2017,true
Paleo 2016,Italy,Toscana,Le Macchiole,4.5,111,92.05,06/02/2011,false
Dominio de Fontana Garnacha - Syrah 2017,Spain,Uclés,Bodegas Fontana,3.6,111,7.36,14/06/2008,false
Rosso di Montalcino 2017,Italy,Rosso di Montalcino,Casanova di Neri,4.0,111,20.90,07/07/2003,true
Carchelo (C) 2017,Spain,Jumilla,Carchelo,3.6,111,8.92,06/10/2010,false
Reserva Rioja (Finca Ygay) 2016,Spain,Rioja,Marqués de Murrieta,4.0,111,18.00,24/11/2009,false
Barrel Selection Cabernet Sauvignon 2018,Argentina,Uco Valley,Salentein,3.6,111,12.90,18/02/2003,false
Syrah 2016,South Africa,Stellenbosch,Zevenwacht,4.1,111,13.99,01/05/2005,false
Don Antonio Nero d'Avola (Riserva) 2016,Italy,Sicilia,Morgante,4.2,111,25.90,14/01/2017,true
Wunderwerk Spätburgunder 2014,Germany,Rheinhessen,Dreissigacker,3.8,111,27.00,21/06/2010,true
Clos d'Ora 2015,France,Minervois La Livinière,Gérard Bertrand,4.5,111,229.00,27/07/2013,false
Hommage à Jacques Perrin Châteauneuf-du-Pape 2016,France,Châteauneuf-du-Pape,Château de Beaucastel,4.6,111,515.00,12/02/2014,false
Director's Cut Zinfandel 2015,United States,Dry Creek Valley,Francis Ford Coppola,4.1,1110,32.50,20/02/2014,true
Reserva Ribera del Duero 2014,Spain,Ribera del Duero,Condado de Oriza,3.7,1111,14.52,29/01/2009,true
Amarone della Valpolicella Classico 2015,Italy,Amarone della Valpolicella Classico,Allegrini,4.3,1111,50.69,11/07/2012,true
Châteauneuf-du-Pape 2015,France,Châteauneuf-du-Pape,E. Guigal,4.1,1112,32.54,29/04/2009,true
Reserve Pinot Noir 2014,Argentina,Uco Valley,Salentein,3.8,1114,15.69,22/02/2006,true
Malbec 2018,Argentina,Mendoza,Argento,3.6,1117,9.99,01/12/2006,false
Rioja Reserva 2015,Spain,Rioja,Marqués de Riscal,4.1,11170,15.50,16/03/2002,true
Moulis-en-Médoc 2014,France,Moulis-en-Médoc,Château Chasse-Spleen,3.9,1118,43.77,10/10/2003,true
Plumbago Nero d'Avola Sicilia 2016,Italy,Sicilia,Planeta,3.6,1118,13.93,17/09/2013,false
Vigna Corvino Montepulciano d'Abruzzo 2018,Italy,Montepulciano d'Abruzzo,Contesa,3.8,112,6.32,10/07/2016,true
Cabernet Sauvignon 2016,Romania,Samburesti,Castel Bolovanu,3.3,112,7.90,03/03/2017,true
Códice 2017,Spain,Castilla y León,Dominio de Eguren,3.5,112,5.75,14/07/2007,true
Pinot Noir 2018,South Africa,Walker Bay,Creation,3.9,112,18.99,13/08/2014,true
Aigle Les Murailles Rouge 2015,Switzerland,Aigle,Henri Badoux,3.7,112,23.17,27/09/2017,false
Big G 2015,South Africa,Franschhoek,Holden Manz,4.2,112,23.90,06/04/2018,false
Barbera d'Alba Aves 2018,Italy,Barbera d'Alba,Comm. G.B. Burlotto,4.0,112,24.00,29/11/2005,false
Chinon Rouge 2015,France,Chinon,Domaine Gouron,3.5,112,8.75,31/07/2005,true
Bardolino 2016,Italy,Bardolino,Corte Giara,3.5,112,5.90,18/02/2002,false
Provident Shiraz 2016,Australia,Barossa Valley,Soul Growers,3.6,112,24.37,24/12/2014,false
Perdixi 2013,Italy,Isola dei Nuraghi,Olianas,3.7,112,19.50,13/03/2008,false
Puisseguin Saint-Émilion 2013,France,Puisseguin-Saint-Émilion,Château Moulin de Curat,3.4,112,10.75,09/01/2007,true
Pissarres 2017,Spain,Priorat,Costers del Priorat,4.0,112,12.85,08/04/2014,false
Arcidiavolo 2008,Italy,Toscana,Teruzzi & Puthod,4.2,112,17.45,23/02/2006,true
Colheita Alentejano Tinto 2015,Portugal,Alentejano,Monte Cascas,3.6,112,9.65,16/09/2000,true
Malbec 2013,Argentina,Uco Valley,DiamAndes,3.6,1122,16.56,30/10/2017,true
Bordeaux Rouge 2014,France,Bordeaux,Baron Philippe de Rothschild,3.2,1123,7.95,15/05/2001,true
Pauillac (Grand Cru Classé) 2011,France,Pauillac,Château Pichon Baron,4.4,1125,139.00,10/04/2000,false
Pauillac (Grand Cru Classé) 2011,France,Pauillac,Château Grand-Puy-Lacoste,4.2,1125,76.95,27/05/2009,true
Selvarossa Riserva 2014,Italy,Salice Salentino,Cantine due Palme,4.0,1125,14.95,29/07/2019,false
Rocca Guicciarda Chianti Classico Riserva 2016,Italy,Chianti Classico,Ricasoli,3.7,1129,13.79,03/04/2019,true
Diamond Collection Malbec (Celestial Blue Label) 2017,United States,Napa Valley,Francis Ford Coppola,3.6,113,26.31,07/04/2004,true
Rioja Tempranillo Elaboración Especial 2017,Spain,Rioja,Beronia,3.7,113,11.99,21/12/2006,true
Pomerol 2015,France,Pomerol,Château Moulinet-Lasserre,4.1,113,46.79,09/09/2007,true
1300 Merlot 2016,Argentina,Tupungato,Andeluna,3.3,113,7.70,11/02/2011,false
Tradition Spätburgunder 2017,Germany,Franken,Rudolf Fürst,3.8,113,16.90,03/11/2015,false
Nebbiolo Langhe 2018,Italy,Langhe,Giacomo Fenocchio,3.7,113,16.90,15/09/2011,false
Pinot Noir 2016,United States,California,Spellbound,3.6,113,14.49,03/02/2017,false
Tenuta Belguardo 2015,Italy,Maremma Toscana,Mazzei,3.8,113,49.00,10/11/2000,false
Kalkmergel Spätburgunder 2014,Germany,Pfalz,Knipser,3.8,113,23.38,28/08/2001,true
Merlot 2015,Italy,Südtirol - Alto Adige,Alois Lageder,3.7,113,17.79,22/12/2011,true
Châteauneuf-du-Pape 2017,France,Châteauneuf-du-Pape,Clos des Papes (Paul Avril),4.2,113,86.76,30/01/2009,true
Chianti Classico 2016,Italy,Chianti Classico,Monte Guelfo,3.4,113,8.29,22/05/2000,false
Valdehermoso Crianza 2016,Spain,Ribera del Duero,Valderiz,3.7,113,13.50,10/04/2012,false
Bel Noce Primitivo 2017,Italy,Salento,Cantina Rosa del Golfo,4.2,113,9.78,19/01/2008,false
Moulin des Costes Bandol Rouge 2011,France,Bandol,Domaines Bunan,3.7,113,115.00,01/01/2005,true
Sapaio Bolgheri Superiore 2016,Italy,Bolgheri Superiore,Podere Sapaio,4.2,113,54.81,25/12/2012,false
Rosso di Montalcino 2015,Italy,Rosso di Montalcino,Poggio Landi,3.7,113,13.50,16/12/2002,false
Côtes du Rhône 2016,France,Côtes-du-Rhône,Rocca Maura,3.4,113,7.50,01/03/2019,false
Filo di Seta Brunello di Montalcino 2012,Italy,Brunello di Montalcino,Castello Romitorio,4.3,113,52.87,27/08/2011,true
Saint-Émilion Grand Cru 2011,France,Saint-Émilion Grand Cru,Clos Dubreuil,4.1,113,63.20,13/08/2017,false
Quinta Generation (5th) 2016,Chile,Colchagua Valley,Casa Silva,4.2,113,20.42,10/02/2002,false
Cuvée X 2015,Germany,Pfalz,Knipser,4.1,113,40.65,03/04/2015,false
Pauillac (Grand Cru Classé) 2017,France,Pauillac,Château Pichon Longueville Comtesse de Lalande,4.4,113,154.99,21/03/2011,false
Bachgart Blauburgunder 2015,Italy,Südtirol - Alto Adige,Klaus Lentsch,3.8,113,42.90,04/12/2001,false
Priorat 2017,Spain,Priorat,Clos Mogador,4.5,113,77.01,31/05/2004,true
Hillside Select Cabernet Sauvignon 2015,United States,Stags Leap District,Shafer,4.6,113,378.98,05/03/2005,true
Bernoota Shiraz - Cabernet 2016,Australia,Langhorne Creek,Lake Breeze Wines,3.9,113,20.75,01/08/2016,true
Reserva Carmenère 2018,Chile,Colchagua Valley,Caliterra,3.6,113,6.33,30/08/1999,true
Small Hill Red 2017,Austria,Burgenland,Leo Hillinger,3.6,113,9.17,21/10/2004,false
Margaux (Grand Cru Classé) 2011,France,Margaux,Château Lascombes,4.2,1131,89.00,02/10/2000,true
Merlot 2016,United States,Columbia Valley,Columbia Winery,3.7,1132,14.84,07/04/2002,true
Pessac-Léognan (Grand Cru Classé de Graves) 2006,France,Pessac-Léognan,Château Pape Clément,4.4,1132,129.00,19/05/2011,false
Conde de Valdemar Gran Reserva 2010,Spain,Rioja,Bodegas Valdemar,4.0,1134,18.79,09/03/2009,false
Syrah 2017,Italy,Terre Siciliane,Cusumano,3.8,1134,7.90,10/11/2018,false
Brunello di Montalcino 2012,Italy,Brunello di Montalcino,Tenute Silvio Nardi,4.1,1136,38.30,13/08/2015,false
Ganadero 2017,Spain,Méntrida,Canopy,3.6,114,7.45,08/11/2010,true
AS Ladieras 2015,Spain,Campo de Borja,Cuevas de Arom,3.8,114,19.24,25/10/2014,false
Bin 3 Merlot - Cabernet Sauvignon 2016,South Africa,Stellenbosch,Kaapzicht,3.8,114,13.80,30/03/2004,false
Gimblett Gravels Le Sol 2015,New Zealand,Gimblett Gravels,Craggy Range,4.3,114,85.27,12/08/2015,true
Pomerol 2016,France,Pomerol,Château La Renaissance,4.1,114,24.27,12/05/2016,false
Memorious Pinot Noir 2015,United States,Sta. Rita Hills,Domaine de la Côte,4.2,114,54.00,18/11/2016,false
Baron Nathaniel Pauillac 2016,France,Pauillac,Baron Philippe de Rothschild,4.2,114,28.08,30/10/2003,true
Saga Médoc 2016,France,Médoc,Barons de Rothschild (Lafite),3.5,114,10.65,24/12/1998,true
Haut-Médoc 2014,France,Haut-Médoc,Château Haut-Bellevue,3.8,114,13.15,06/01/2013,false
Cenit 2012,Chile,Colchagua Valley,Caliterra,4.3,114,38.94,15/04/2013,true
Maldoror 2005,France,Côtes de Bourg,Château Fougas,3.7,114,43.95,08/09/2001,true
Cuvée Juveniles 2017,Australia,Barossa,Torbreck,3.9,114,24.75,22/12/2000,false
Cabernet Veneto 2016,Italy,Veneto,Torresella,3.3,114,6.77,07/03/2003,false
Pessac-Léognan (Grand Cru Classé de Graves) 2017,France,Pessac-Léognan,Domaine de Chevalier,4.1,114,77.01,21/12/2011,true
Purosangue Morellino di Scansano Sangiovese Riserva 2016,Italy,Morellino di Scansano,Terenzi,3.8,114,25.26,18/10/2017,true
Colline Côtes du Rhône Rouge 2018,France,Côtes-du-Rhône,La Cabotte,3.7,114,8.98,15/01/2016,false
Estate Perigee (Seven Hills Vineyard) 2013,United States,Walla Walla Valley,L'Ecole No 41,4.3,114,49.50,28/12/2005,true
Pinot Noir Bourgogne 2018,France,Bourgogne,Terres Dorées,3.9,114,16.90,31/10/2005,false
Frauenfeld St. Laurent 2015,Austria,Thermenregion,Johanneshof Reinisch,4.1,114,19.35,21/04/2005,true
Signature Malbec 2017,Argentina,Lujan de Cuyo,Susana Balbo,3.9,1143,24.75,30/03/2005,false
Crozes-Hermitage Les Jalets 2016,France,Crozes-Hermitage,Paul Jaboulet Aîné,3.7,1143,19.39,01/08/2005,false
Ripassa Valpolicella Ripasso Superiore 2015,Italy,Valpolicella Ripasso,Zenato,4.2,11433,19.99,13/04/2017,false
La Segreta Il Rosso 2017,Italy,Sicilia,Planeta,3.6,1145,8.36,19/12/2016,false
Zinfandel 2017,United States,California,Woodbridge by Robert Mondavi,3.8,1147,8.39,08/04/2005,false
Margaux (Grand Cru Classé) 2009,France,Margaux,Château Brane-Cantenac,4.2,1149,96.99,21/04/2000,false
Cabernet Sauvignon 2014,Chile,Maipo Valley,Primus,3.8,1149,14.40,01/04/2013,false
La Luna e I Falo Nizza 2015,Italy,Barbera d'Asti,Vite Colte,3.7,115,17.95,21/07/2011,false
Three Pines Cabernet Sauvignon 2016,South Africa,Stellenbosch,Stark-Condé,4.0,115,38.99,05/04/2018,true
Γουμένισσα (Goumenissa) 2015,Greece,Goumenissa,Chatzivaritis Estate,3.7,115,20.00,24/05/2014,false
Toscana Rosso 2018,Italy,Toscana,Tenuta Il Poggione,3.6,115,7.99,07/01/2000,false
Le Benjamin de Beauregard Pomerol 2016,France,Pomerol,Château Beauregard,3.9,115,34.90,24/11/2016,true
Vigna Del Mandorlo Dolcetto d'Alba 2016,Italy,Dolcetto d'Alba,Elvio Cogno,3.5,115,13.95,10/05/2000,false
Estate Vineyards Syrah (Shiraz) 2017,South Africa,Stellenbosch,Rust En Vrede,4.3,115,23.75,28/04/2018,false
Prima 2006,France,Cadillac - Côtes de Bordeaux,Château Carignan,3.7,115,15.15,15/07/2010,true
