name,country,region,winery,rating,number_of_ratings,price,since,origin_appellation
Côte-Rôtie Le Gallet Blanc 2017,France,Côte-Rôtie,Francois Villard,4.4,101,48.00,09/10/2000,false
Capatosta 2015,Italy,Toscana,Poggio Argentiera,3.8,101,19.90,05/08/2008,false
Constance Madiran 2015,France,Madiran,Domaine Berthoumieu,3.8,101,9.50,15/03/2013,false
Oak Cask Malbec 2019,Argentina,Mendoza,Trapiche,3.7,1010,7.36,04/02/2018,true
Amancaya Malbec - Cabernet Sauvignon 2017,Argentina,Mendoza,Caro (Catena and Rothschild),4.0,1010,16.80,12/12/2007,false
Laccento Ruché di Castagnole Monferrato 2017,Italy,Ruchè,Montalbera,4.0,1012,19.90,08/10/2018,true
San Leonardo 2011,Italy,Vigneti delle Dolomiti,San Leonardo,4.3,1012,48.64,12/11/2013,true
Fausto Tannat 2015,Brazil,Serra Gaúcha,Pizzato,3.6,1012,11.35,09/06/2010,false
Pauillac (Grand Cru Classé) 2007,France,Pauillac,Château Pichon Baron,4.4,1014,119.00,06/06/1999,false
Disciples 2016,United States,Napa Valley,The Crane Assembly,4.3,1014,53.61,03/08/2010,false
Zinfandel 2015,United States,Mendocino County,Bonterra,3.6,1015,16.75,15/12/2004,false
Margaux 2010,France,Margaux,Château Labégorce,4.0,1016,40.95,23/06/2017,false
La Luna e i Falò Barbera d'Asti Superiore 2015,Italy,Barbera d'Asti,Vite Colte,3.8,1016,11.49,03/03/2007,false
Ribera del Duero 2015,Spain,Ribera del Duero,Garmón,4.2,1017,38.80,17/07/2014,false
Les Jardins Rouge 2018,France,Faugères,Saint Antonin,3.8,102,7.95,03/06/2016,false
Nero d'Avola - Syrah 2018,Italy,Terre Siciliane,Roccaperciata,3.7,102,4.75,20/02/2005,true
La Bienquerida 2013,Spain,Bierzo,Losada,4.1,102,35.97,18/08/2014,false
Bonera 2018,Italy,Terre Siciliane,Mandrarossa,3.7,102,9.50,21/02/2015,false
Noi 4 Bolgheri 2016,Italy,Bolgheri,Tenuta dei Sette Cieli,4.0,102,23.50,11/03/2012,true
Pinot Noir 2016,New Zealand,Marlborough,Clos Henri Vineyard,3.9,102,27.78,03/11/2016,true
Saint-Émilion Grand Cru 2005,France,Saint-Émilion Grand Cru,Château Grand Barrail Lamarzelle Figeac,3.9,102,39.95,27/05/2001,true
Gran Selección Tempranillo 2017,Spain,Castilla,Viña San Juan,3.4,102,6.75,27/01/2016,false
Syrah 2017,South Africa,Paarl,Glen Carlou,3.9,102,18.25,26/08/2018,false
Zweigelt 2017,Austria,Burgenland,Judith Beck,3.9,102,10.60,16/01/2005,false
Saint-Émilion Grand Cru 2015,France,Saint-Émilion Grand Cru,Château Vieux Clos St. Emilion,4.1,102,23.09,17/06/2018,true
Listán Negro 2017,Spain,Lanzarote,Bermejo,3.6,102,17.95,30/05/2018,false
Viile Metamorfosis Merlot 2015,Romania,Dealu Mare,Vitis Metamorfosis,3.5,102,7.50,26/06/2015,false
Merlot - Cabernet Sauvignon - Petit Verdot 2014,South Africa,Walker Bay,Creation,3.9,102,12.48,19/07/2009,true
RWT Shiraz 2017,Australia,Barossa Valley,Penfolds,4.4,102,229.00,20/12/2006,false
Fronton 2018,France,Fronton,Château Bellevue La Forét,3.5,102,6.95,12/11/2018,true
Costers Del Gravet Montsant 2013,Spain,Montsant,Capçanes,3.7,102,13.95,21/06/2001,true
Merlot 2018,Italy,Terre Siciliane,Cusumano,3.4,102,7.90,13/06/2012,true
Pinot Noir 2015,Austria,Burgenland,Paul Achs,3.7,102,33.05,12/05/2005,false
Coume de l'Olla Rouge 2019,France,Vin de France,Matassa,4.1,102,16.96,09/07/2004,true
Schwarzer 2017,Germany,Pfalz,Weingut Metzger,3.6,102,13.15,02/12/2001,false
Haut-Médoc 2015,France,Haut-Médoc,Château Beaumont,3.8,1020,17.36,28/11/2002,true
Bourgogne Pinot Noir (La Vignée) 2015,France,Bourgogne,Bouchard Père & Fils,3.6,1020,17.59,16/10/2006,true
Pinot Noir 2017,South Africa,Hemel-en-Aarde Valley,Hamilton Russell Vineyards,4.2,1022,49.09,05/03/2015,false
Zinfandel 2016,United States,California,Geyser Peak,3.7,1023,10.90,25/11/1999,false
Valpolicella Ripasso Classico Superiore 2017,Italy,Valpolicella Ripasso Classico,Bolla,3.7,1024,15.50,14/08/2003,false
Rosso di Montalcino 2015,Italy,Rosso di Montalcino,Castiglion del Bosco,3.9,1025,26.50,19/10/2010,true
Ripanço Private Selection Alentejano 2016,Portugal,Alentejano,José Maria da Fonseca,3.7,1026,8.60,07/07/2009,false
Riserva Cannonau di Sardegna 2017,Italy,Cannonau di Sardegna,Sella & Mosca,3.8,1027,10.66,10/10/2014,true
60 Sessantanni Old Vines Primitivo di Manduria 2016,Italy,Primitivo di Manduria,San Marzano,4.4,1028,17.24,30/01/2017,false
Kith & Kin Cabernet Sauvignon 2017,United States,Napa Valley,Round Pond Estate,4.2,1028,38.50,21/07/2017,false
Zinfandel 2017,United States,California,Rombauer Vineyards,4.3,1029,34.12,18/01/2018,true
Cerro Añon Rioja Gran Reserva 2011,Spain,Rioja,Bodegas Olarra,4.1,103,14.65,17/09/2018,false
Bush Vine GSM (Shiraz - Grenache - Mourvedre) 2013,Australia,McLaren Vale,Geoff Merrill,4.0,103,14.57,25/05/2009,true
Plaer Vinyes Velles 2016,Spain,Priorat,Acustic Celler,4.1,103,26.18,15/12/2011,true
Cabernet - Shiraz 2016,Spain,La Mancha,Añoranza,3.4,103,3.95,26/04/2006,false
Saint-Émilion Grand Cru 2014,France,Saint-Émilion Grand Cru,Château La Confession,3.9,103,26.90,11/02/2018,false
Comte de Sénéjac Haut-Médoc 2011,France,Haut-Médoc,Château Sénéjac,3.7,103,16.83,02/04/2005,false
